acc_BOW_SGD,acc_TFIDF_SGD,acc_BOW_BNB,acc_TFIDF_BNB,acc_BOW_LR,acc_TFIDF_LR,acc_BOW_MNB,acc_TFIDF_MNB
0.3926940639269406,0.4063926940639269,0.4018264840182648,0.4018264840182648,0.3744292237442922,0.4079147640791476,0.4018264840182648,0.3866057838660578
0.3302891933028919,0.3987823439878234,0.3272450532724505,0.3272450532724505,0.4094368340943683,0.4124809741248097,0.350076103500761,0.3759512937595129
0.3881278538812785,0.2785388127853881,0.395738203957382,0.395738203957382,0.3363774733637747,0.289193302891933,0.410958904109589,0.2343987823439878
0.3242009132420091,0.4033485540334855,0.3074581430745814,0.3074581430745814,0.4003044140030441,0.3926940639269406,0.3226788432267884,0.3789954337899543
0.380517503805175,0.3135464231354642,0.3896499238964992,0.3896499238964992,0.319634703196347,0.3135464231354642,0.3881278538812785,0.2998477929984779
0.4170471841704718,0.3911719939117199,0.4176829268292683,0.4176829268292683,0.3850837138508371,0.395738203957382,0.4009146341463415,0.3668188736681887
0.39176829268292684,0.42378048780487804,0.40396341463414637,0.40396341463414637,0.37347560975609756,0.41310975609756095,0.3277439024390244,0.38871951219512196
0.32926829268292684,0.4009146341463415,0.3246951219512195,0.3246951219512195,0.35823170731707316,0.3384146341463415,0.39176829268292684,0.3673780487804878
0.3780487804878049,0.3307926829268293,0.3932926829268293,0.3932926829268293,0.3902439024390244,0.4253048780487805,0.4176829268292683,0.3170731707317073
0.3521341463414634,0.4192073170731707,0.4146341463414634,0.4146341463414634,0.3719512195121951,0.4146341463414634,0.4192073170731707,0.41310975609756095
